gcm, calendar
ACCESS-CM2, proleptic_gregorian
ACCESS-ESM1-5, proleptic_gregorian
BCC-CSM2-MR, 365_day
CESM2-WACCM, 365_day
CESM2, 365_day
CMCC-CM2-SR5, 365_day
CMCC-ESM2, 365_day
CNRM-CM6-1-HR, standard
CNRM-CM6-1, standard
CNRM-ESM2-1, standard
CanESM5, 365_day
EC-Earth3-CC, proleptic_gregorian
EC-Earth3-Veg-LR, proleptic_gregorian
EC-Earth3-Veg, proleptic_gregorian
EC-Earth3, proleptic_gregorian
FGOALS-g3, 365_day
GFDL-CM4, 365_day
GFDL-CM4_gr2, 365_day
GFDL-ESM4, 365_day
GISS-E2-1-G, 365_day
HadGEM3-GC31-LL, 360_day
HadGEM3-GC31-MM, 360_day
IITM-ESM, standard
INM-CM4-8, 365_day
INM-CM5-0, 365_day
IPSL-CM6A-LR, standard
KACE-1-0-G, 360_day
KIOST-ESM, 365_day
MIROC-ES2L, standard
MIROC6, standard
MPI-ESM1-2-HR, proleptic_gregorian
MPI-ESM1-2-LR, proleptic_gregorian
MRI-ESM2-0, proleptic_gregorian
NESM3, standard
NorESM2-LM, 365_day
NorESM2-MM, 365_day
TaiESM1, 365_day
UKESM1-0-LL, 360_day
historical, historical
